,latitude,longitude,geometry
315,32.0554,34.7595,POINT (34.7595 32.0554)
316,37.384239,-122.012475,POINT (-122.012475 37.384239)
317,37.794643,-122.401144,POINT (-122.401144 37.794643)
319,37.838225,-122.296411,POINT (-122.296411 37.838225)
320,55.6839208,12.571492,POINT (12.571492 55.6839208)
320,51.5111369,-0.1247662,POINT (-0.1247662 51.5111369)
321,33.982431,-118.426707,POINT (-118.426707 33.982431)
322,45.5049305,-73.5681635,POINT (-73.5681635 45.5049305)
323,37.512253,-122.201099,POINT (-122.201099 37.512253)
324,39.738499,-105.158645,POINT (-105.158645 39.738499)
325,37.384717,-122.081625,POINT (-122.081625 37.384717)
326,37.530893,-122.245087,POINT (-122.245087 37.530893)
326,42.277416,-83.733276,POINT (-83.733276 42.277416)
327,37.7726402,-122.4099154,POINT (-122.4099154 37.7726402)
328,37.636288,-122.42689,POINT (-122.42689 37.636288)
330,37.399208,-121.97895,POINT (-121.97895 37.399208)
332,37.09024,-95.712891,POINT (-95.712891 37.09024)
333,37.385216,-121.972128,POINT (-121.972128 37.385216)
333,37.4069445,-121.9797628,POINT (-121.9797628 37.4069445)
334,37.09024,-95.712891,POINT (-95.712891 37.09024)
335,47.620716,-122.347533,POINT (-122.347533 47.620716)
338,42.591704,-71.319348,POINT (-71.31934800000001 42.591704)
339,52.146853,-1.721287,POINT (-1.721287 52.146853)
340,37.803847,-122.402468,POINT (-122.402468 37.803847)
341,33.999004,-118.472297,POINT (-118.472297 33.999004)
342,47.620716,-122.347533,POINT (-122.347533 47.620716)
343,40.987453,-73.741649,POINT (-73.741649 40.987453)
344,38.984172,-77.095965,POINT (-77.09596500000001 38.984172)
347,37.5583159,-122.2862187,POINT (-122.2862187 37.5583159)
348,37.78274,-122.390945,POINT (-122.390945 37.78274)
349,42.405685,-71.255857,POINT (-71.25585700000001 42.405685)
350,37.520592,-122.255907,POINT (-122.255907 37.520592)
351,31.2006566,121.4384701,POINT (121.4384701 31.2006566)
353,40.755861,-73.996272,POINT (-73.996272 40.755861)
355,37.8454819,-122.296342,POINT (-122.296342 37.8454819)
356,40.7473113,-73.9549182,POINT (-73.95491819999999 40.7473113)
357,47.598968,-122.332904,POINT (-122.332904 47.598968)
358,40.606061,-73.822331,POINT (-73.82233100000001 40.606061)
359,48.8780596,2.3283853,POINT (2.3283853 48.8780596)
360,51.511599,-0.126389,POINT (-0.126389 51.511599)
361,41.3854855,2.1702872,POINT (2.1702872 41.3854855)
362,39.935819,-74.909185,POINT (-74.90918499999999 39.935819)
363,47.6139472,-122.327807,POINT (-122.327807 47.6139472)
364,26.820375,-80.058401,POINT (-80.058401 26.820375)
365,46.227638,2.213749,POINT (2.213749 46.227638)
366,42.431555,-71.483077,POINT (-71.48307699999999 42.431555)
367,40.742459,-73.9918126,POINT (-73.9918126 40.742459)
367,30.378658,-97.731249,POINT (-97.73124900000001 30.378658)
367,35.139441,-80.916109,POINT (-80.91610900000001 35.139441)
367,33.464377,-111.924855,POINT (-111.924855 33.464377)
367,34.105226,-84.03398,POINT (-84.03398 34.105226)
368,42.375392,-71.118487,POINT (-71.118487 42.375392)
369,42.351105,-71.049124,POINT (-71.04912400000001 42.351105)
370,36.611645,-121.898539,POINT (-121.898539 36.611645)
371,33.639318,-111.883237,POINT (-111.883237 33.639318)
372,40.909378,-74.033707,POINT (-74.03370700000001 40.909378)
373,37.7766184,-122.3938931,POINT (-122.3938931 37.7766184)
374,31.046051,34.851612,POINT (34.851612 31.046051)
374,32.068424,34.824785,POINT (34.824785 32.068424)
375,26.119102,-80.1343038,POINT (-80.1343038 26.119102)
376,48.856667,2.350987,POINT (2.350987 48.856667)
378,48.8747064,2.3304161,POINT (2.3304161 48.8747064)
379,37.09024,-95.712891,POINT (-95.712891 37.09024)
379,37.4418834,-122.1430195,POINT (-122.1430195 37.4418834)
380,41.907647,-87.649878,POINT (-87.649878 41.907647)
381,37.09024,-95.712891,POINT (-95.712891 37.09024)
382,37.09024,-95.712891,POINT (-95.712891 37.09024)
382,37.7749295,-122.4194155,POINT (-122.4194155 37.7749295)
384,48.882434,2.297035,POINT (2.297035 48.882434)
385,40.740231,-73.985433,POINT (-73.985433 40.740231)
386,37.09024,-95.712891,POINT (-95.712891 37.09024)
387,37.3867729,-122.0752224,POINT (-122.0752224 37.3867729)
388,40.74727,-73.9800645,POINT (-73.9800645 40.74727)
389,34.01052,-118.495981,POINT (-118.495981 34.01052)
390,37.7876952,-122.3991505,POINT (-122.3991505 37.7876952)
391,37.789034,-122.398503,POINT (-122.398503 37.789034)
392,37.386665,-122.084171,POINT (-122.084171 37.386665)
393,40.755978,-73.990396,POINT (-73.990396 40.755978)
394,48.872159,2.291225,POINT (2.291225 48.872159)
395,40.752516,-73.973072,POINT (-73.973072 40.752516)
396,32.0554,34.7595,POINT (34.7595 32.0554)
397,35.996157,-78.902115,POINT (-78.90211499999999 35.996157)
397,35.9939,-78.8986,POINT (-78.8986 35.9939)
398,37.790346,-122.40185,POINT (-122.40185 37.790346)
399,32.959908,-96.70737,POINT (-96.70737 32.959908)
